382.54205	28072	28025	28046	28099	
382.83298	28095	28154	28124	28207	
383.12393	28024	27982	28062	28077	
383.41486	28097	28163	28161	28166	
383.70578	27943	27980	27979	28044	
383.9967	29601	29607	29577	29676	
384.28763	28221	28258	28296	28256	
384.57855	28168	28242	28198	28174	
384.86948	27898	27883	27930	27942	
385.1604	28302	28320	28358	28406	
385.45132	28927	28968	28976	28983	
385.74225	29467	29422	29389	29491	
386.03317	27851	27921	27970	28022	
386.32407	28692	28700	28712	28700	
386.61499	27983	27968	27936	27912	
386.90591	28521	28566	28484	28505	
387.19684	28164	28246	28234	28209	
387.48773	28107	28126	28106	28152	
387.77866	27869	27864	27949	27892	
388.06958	28168	28142	28160	28126	
388.36047	28128	27990	28060	28051	
388.6514	28160	28134	28175	28121	
388.94229	28145	28202	28197	28073	
389.23322	28214	28118	28144	28130	
389.52411	28346	28284	28316	28320	
389.81503	28231	28206	28266	28129	
390.10593	28233	28273	28298	28256	
390.39685	28052	28108	28056	28049	
390.68774	28735	28787	28740	28746	
390.97864	27946	27786	27804	27823	
391.26956	28288	28224	28232	28252	
391.56046	28058	28093	28006	28017	
391.85135	28190	28186	28177	28157	
392.14224	28187	28138	28153	28119	
392.43317	28457	28505	28425	28450	
392.72406	27902	27896	27908	27933	
393.01495	28125	28271	28175	28231	
393.30585	28074	28109	28033	28078	
393.59674	28324	28351	28195	28256	
393.88763	28161	28124	28139	28148	
394.17853	27945	28029	28001	27887	
394.46942	28557	28467	28555	28418	
394.76031	28057	28103	28092	28091	
395.05121	28142	28305	28233	28134	
395.3421	27954	27960	27935	27985	
395.63297	27813	27866	27877	27906	
395.92386	28416	28464	28417	28325	
396.21475	28211	28143	28162	28140	
396.50565	28187	28247	28208	28122	
396.79651	28727	28716	28748	28733	
397.0874	28245	28173	28288	28167	
397.3783	28478	28375	28459	28423	
397.66916	27883	27928	27978	27900	
397.96005	28175	28132	28221	28196	
398.25092	27809	27790	27907	27824	
398.54181	28326	28283	28304	28299	
398.83267	28222	28258	28305	28168	
399.12357	27956	27969	27882	27956	
399.41443	28261	28236	28307	28271	
399.70529	28420	28381	28403	28400	
399.99619	28039	28048	28054	28047	
400.28705	28114	28158	28119	28117	
400.57791	28161	28102	28214	28175	
400.8688	28159	28069	28058	28150	
401.15967	28125	28071	28187	28158	
401.45053	27925	27902	27983	27932	
401.74139	28065	28105	28067	28105	
402.03226	28689	28708	28667	28669	
402.32312	28403	28367	28416	28482	
402.61398	28938	29006	28972	29044	
402.90485	27960	28009	28105	28103	
403.19571	27915	27918	27943	27982	
403.48657	32314	32318	32359	32419	
403.77744	28166	28128	28159	28242	
404.0683	28239	28282	28324	28291	
404.35916	28293	28191	28221	28229	
404.64999	27974	27965	28075	28009	
404.94086	28704	28636	28685	28708	
405.23172	28598	28616	28555	28731	
405.52258	27992	27962	27928	27998	
405.81342	28174	28186	28225	28180	
406.10428	28192	28191	28241	28337	
406.39514	28218	28245	28314	28338	
406.68597	29729	29666	29690	29725	
406.97684	28058	28107	28132	28102	
407.26767	28516	28423	28522	28550	
407.55853	27924	27932	27957	28043	
407.84937	27913	27972	28039	28007	
408.1402	28249	28257	28340	28380	
408.43106	28161	28207	28140	28235	
408.72189	28382	28412	28352	28398	
409.01273	27766	27832	27891	27925	
409.30356	27848	27817	27892	27951	
409.59442	28078	28208	28197	28210	
409.88525	28169	28163	28224	28273	
410.17609	28111	28180	28146	28195	
410.46692	27889	27871	27854	27942	
410.75775	27972	27954	28011	27989	
411.04858	28203	28154	28234	28239	
411.33942	28072	28148	28105	28154	
411.63025	28146	28077	28121	28097	
411.92108	27993	27997	28086	27919	
412.21191	27670	27688	27666	27709	
412.50275	28016	28069	28109	28102	
412.79358	28349	28216	28282	28306	
413.08438	28004	28060	28058	28048	
413.37521	27908	27936	27970	27959	
413.66605	27765	27851	27876	27806	
413.95685	28194	28247	28168	28184	
414.24768	28125	28017	28136	28078	
414.53851	28773	28830	28868	28799	
414.82932	28111	28172	28151	28076	
415.12015	28029	28110	28106	28065	
415.41095	28068	27997	28034	28002	
415.70178	27976	27922	27865	27879	
415.99258	27817	27834	27826	27871	
416.28342	27781	27813	27852	27788	
416.57422	27855	27900	27926	27960	
416.86502	28143	28154	28135	28139	
417.15582	28137	28221	28142	28062	
417.44666	28084	28120	28147	28108	
417.73746	28585	28691	28628	28511	
418.02826	27994	27949	27960	27923	
418.31906	27942	27991	27870	27989	
418.60986	28047	28082	27948	27996	
418.90067	27896	27888	27849	27917	
