CPT_Si_c600_wl;CPT_Si_c600;CPT_InGaAs_c800_wl;CPT_InGaAs_c800;CPT_InGaAs_c1000_wl;CPT_InGaAs_c1000;CPT_InGaAs_c1200_wl;CPT_InGaAs_c1200;CPT_InGaAs_c1400_wl;CPT_InGaAs_c1400;Uni_Si_c600_wl;Uni_Si_c600;Uni_InGaAsi_c700_wl;Uni_InGaAsi_c700;Uni_InGaAsi_c900_wl;Uni_InGaAsi_c900;Uni_InGaAsi_c1100_wl;Uni_InGaAsi_c1100;Uni_InGaAsi_c1300_wl;Uni_InGaAsi_c1300;Fluorimeter_wl;Fluorimeter
-173.51956;5.85566766285076E-23;436.75085;3.28099038629227E-23;637.12982;7.27204036429674E-23;837.51831;8.12127390826787E-23;1037.9163;2.7728014315731E-22;3.653811699999999973e+02;7.022061455063042384e-03;5.154487900000000309e+02;2.159891514533687426e-02;6.155626800000000003e+02;9.922229551618820531e-02;7.683228699999999662e+02;2.946865600298765875e-01;9.690512400000000071e+02;9.825465917949905981e-01;295;0.01395
-171.97545;3.11290418365297E-23;438.23422;4.14232282535335E-23;638.61176;7.25258343818927E-23;838.99872;8.37962433787839E-23;1039.3951;2.8340331106147E-22;3.667953899999999976e+02;6.901318655801997812e-03;5.168069400000000542e+02;2.233982407505287482e-02;6.169198099999999840e+02;9.989204895972156328e-02;7.696783000000000357e+02;2.965788061145147592e-01;9.704044000000000096e+02;9.833615943867062281e-01;296;0.0141
-170.43133;-1.05432362578889E-23;439.71759;4.55717040021522E-23;640.09363;7.42703530028323E-23;840.47913;8.4197615226963E-23;1040.8739;2.75839248664051E-22;3.682096000000000231e+02;7.489574902252719296e-03;5.181650700000000143e+02;2.312589714909383393e-02;6.182769100000000435e+02;1.005795871973284017e-01;7.710337100000000419e+02;2.980114267573797937e-01;9.717575399999999490e+02;9.843409083825324091e-01;297;0.01351
-168.88721;5.34588975999525E-24;441.20096;3.61258369016952E-23;641.57556;7.28598545288106E-23;841.95947;8.66620153768169E-23;1042.3528;2.81208286086505E-22;3.696238000000000170e+02;8.256075181544931738e-03;5.195231800000000248e+02;2.391465413054322253e-02;6.196340000000000146e+02;1.012699207966898107e-01;7.723891099999999597e+02;2.995340063541791498e-01;9.731106700000000274e+02;9.845150151611761213e-01;298;0.01695
-167.34309;3.46220134261256E-23;442.68433;3.84166059551982E-23;643.05743;7.52706139664568E-23;843.43982;8.64101938450224E-23;1043.8315;2.73571219189525E-22;3.710379699999999730e+02;1.124486163963917679e-02;5.208812799999999470e+02;2.466295451257859150e-02;6.209910800000000108e+02;1.021277676508637045e-01;7.737444900000000416e+02;3.006420024787317402e-01;9.744637800000000425e+02;9.855957563883278594e-01;299;0.02
-165.79896;3.59566160290439E-23;444.16769;3.71881394009494E-23;644.53931;7.39226966185075E-23;844.92023;8.83866287914764E-23;1045.3104;2.79653995580481E-22;3.724521300000000110e+02;1.248771466033373259e-02;5.222393600000000333e+02;2.533368956903130770e-02;6.223481399999999439e+02;1.027765142295902628e-01;7.750998600000000351e+02;3.023483992951342958e-01;9.758168699999999944e+02;9.858221527623046709e-01;300;0.02472
-164.25483;-7.38951945221865E-24;445.65103;2.63761745388239E-23;646.02118;7.54539106244884E-23;846.40057;8.86344422948597E-23;1046.7892;2.73198671842087E-22;3.738662800000000175e+02;1.507867768974457436e-02;5.235974200000000565e+02;2.591254084638731914e-02;6.237051800000000412e+02;1.034468279217293507e-01;7.764552099999999655e+02;3.033627409575008760e-01;9.771699499999999716e+02;9.885510479625019276e-01;301;0.02861
-162.71069;8.2360658527047E-24;447.1344;4.40963035224133E-23;647.50305;7.83931440575242E-23;847.88092;9.2329056853589E-23;1048.2679;2.82414999019895E-22;3.752803999999999860e+02;1.523254044742073862e-02;5.249554699999999912e+02;2.640724617554216988e-02;6.250622100000000501e+02;1.041630192996278043e-01;7.778105500000000347e+02;3.046062833438947237e-01;9.785230099999999993e+02;9.891853211054475459e-01;302;0.03295
-161.16655;5.8009029685638E-23;448.61774;3.33673590900822E-23;648.98492;7.47175963165128E-23;849.36127;9.09910282820127E-23;1049.7468;2.73602712847358E-22;3.766945099999999798e+02;1.755823361707203184e-02;5.263134999999999764e+02;2.684194764520819038e-02;6.264192199999999957e+02;1.048428201941285637e-01;7.791658700000000408e+02;3.058984462175182717e-01;9.798760600000000522e+02;9.908136692013677083e-01;303;0.03539
-159.62241;1.95940673747618E-23;450.10107;3.80299425876282E-23;650.4668;7.58317936645101E-23;850.84161;9.57052639886983E-23;1051.2256;2.81768878994477E-22;3.781086000000000240e+02;1.838285509247036820e-02;5.276715100000000120e+02;2.724709109628750334e-02;6.277762199999999666e+02;1.054454205512170839e-01;7.805211799999999585e+02;3.073612342882243165e-01;9.812290900000000420e+02;9.926945806174958253e-01;304;0.03736
